age_hhh,rcsi,plw,elderly,hh_size,disabilities ,ipc,sex_hhh,u5,sanitation,housing 
44.85240779,31,0,0,3,1,CEC,Female,0,Inodoro conectado a alcantarillado,Otro
43.39666763,49,0,0,9,0,CEC,Male,1,No tiene servicio sanitario,Vivienda de materiales de desecho
36.6067975,54,0,0,5,0,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
40.21746129,24,0,0,7,2,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda en arriendo (en material de ladrillo)
35.20795192,56,1,0,5,3,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
27.53030527,52,1,0,6,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
35.15874796,44,0,0,4,0,CEC,Male,0,Letrina,Vivienda de materiales de desecho
34.19479071,29,0,0,2,0,CEC,Male,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
37.1728679,36,0,0,4,1,CEC,Male,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
21.10268036,47,1,0,5,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda en arriendo hecha con madera
35.15603206,37,0,0,4,0,CEC,Female,1,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
60.1688842,29,0,1,5,1,CEC,Male,0,Inodoro sin conexión,Otro
47.22090897,30,1,0,7,2,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
29.80906016,53,1,0,6,0,CEC,Male,2,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
66.30714627,50,0,1,6,1,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
58.68988998,26,0,0,3,2,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
24.57129544,56,0,0,3,0,CEC,Male,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
